Oneview Node,Type,street,Upgrade Date
nlhen06st1rm002,"control-plane,master",st01-a,2025-02-20
nlhen06st1rm005,"worker,worker-openet",st01-a,2025-02-20
nlhen06st1rm024,"worker,worker-openet",st01-a,2025-02-20
nlhen06st1rm003,"control-plane,master",st01-a,2025-02-21
nlhen06st1rm004,"control-plane,master",st01-a,2025-02-24
nlhen06st1rm006,"worker,worker-openet",st01-a,2025-02-25
nlhen06st1rm007,"control-plane,master",st01-b,2025-02-26
nlhen06st1rm010,"worker,worker-ericsson-standard",st01-b,2025-02-26
nlhen06st1rm013,"worker,worker-ericsson-standard",st01-b,2025-02-26
nlhen06st1rm015,"worker,worker-ericsson-standard",st01-b,2025-02-26
nlhen06st1rm014,"worker,worker-ericsson-standard",st01-b,2025-02-26
nlhen06st1rm008,"control-plane,master",st01-b,2025-02-27
nlhen06st1rm012,"worker,worker-ericsson-standard",st01-b,2025-02-27
nlhen06st1rm011,"worker,worker-ericsson-standard",st01-b,2025-02-27
nlhen06st1rm009,"control-plane,master",st01-b,2025-02-28
nlhen06st1rm016,"control-plane,master",st01-c,2025-03-03
nlhen06st1rm051,"worker,worker-nokia-ht",st01-c,2025-03-03
nlhen06st1rm060,"worker,worker-nokia-ncc",st01-c,2025-03-03
nlhen06st1rm027,"worker,worker-nokia-ht",st01-c,2025-03-03
nlhen06st1rm022,"worker,worker-nokia",st01-c,2025-03-03
nlhen06st1rm062,"worker,worker-nokia-ncc",st01-c,2025-03-03
nlhen06st1rm017,"control-plane,master",st01-c,2025-03-04
nlhen06st1rm028,"worker,worker-nokia-ht",st01-c,2025-03-04
nlhen06st1rm031,"worker,worker-nokia-ht",st01-c,2025-03-04
nlhen06st1rm063,"worker,worker-nokia-ncc",st01-c,2025-03-04
nlhen06st1rm049,"worker,worker-nokia-ht",st01-c,2025-03-04
nlhen06st1rm030,"worker,worker-nokia-ht",st01-c,2025-03-04
nlhen06st1rm018,"control-plane,master",st01-c,2025-03-05
nlhen06st1rm032,"worker,worker-nokia-ht",st01-c,2025-03-05
nlhen06st1rm019,"worker,worker-nokia",st01-c,2025-03-05
nlhen06st1rm026,"worker,worker-nokia-cmg",st01-c,2025-03-05
nlhen06st1rm029,"worker,worker-nokia-ht",st01-c,2025-03-05
nlhen06st1rm023,"worker,worker-nokia-cmg",st01-c,2025-03-05
nlhen06st1rm061,"worker,worker-nokia-ncc",st01-c,2025-03-06
nlhen06st1rm050,"worker,worker-nokia-ht",st01-c,2025-03-06
nlhen06st1rm052,"worker,worker-nokia",st01-c,2025-03-06
nlhen06st1rm020,"worker,worker-nokia",st01-c,2025-03-06
nlhen06st1rm025,"worker,worker-nokia-cmg",st01-c,2025-03-06
nlhen06st1rm059,"worker,worker-nokia",st01-c,2025-03-06
nlhen06st1rm021,"worker,worker-nokia",st01-c,2025-03-07
nlhen06st1rm033,"control-plane,master",st01-d,2025-03-10
nlhen06st1rm037,"worker,worker-naas",st01-d,2025-03-10
nlhen06st1rm038,"worker,worker-naas",st01-d,2025-03-10
nlhen06st1rm034,"control-plane,master",st01-d,2025-03-11
nlhen06st1rm035,"control-plane,master",st01-d,2025-03-12
nlhen06st1rm036,"worker,worker-naas",st01-d,2025-03-13
nlhen06st1rm053,"control-plane,master",st01-e,2025-03-14
nlhen06st1rm056,"worker,worker-titanium",st01-e,2025-03-14
nlhen06st1rm058,"worker,worker-titanium",st01-e,2025-03-14
nlhen06st1rm054,"control-plane,master",st01-e,2025-03-17
nlhen06st1rm055,"control-plane,master",st01-e,2025-03-18
nlhen06st1rm057,"worker,worker-titanium",st01-e,2025-03-19
nlhen06st2rm002,"control-plane,master",st02-a,2025-03-20
nlhen06st2rm005,"worker,worker-openet",st02-a,2025-03-20
nlhen06st2rm006,"worker,worker-openet",st02-a,2025-03-20
nlhen06st2rm003,"control-plane,master",st02-a,2025-03-21
nlhen06st2rm004,"control-plane,master",st02-a,2025-03-24
nlhen06st2rm024,"worker,worker-openet",st02-a,2025-03-25
nlhen06st2rm007,"control-plane,master",st02-b,2025-03-26
nlhen06st2rm011,"worker,worker-ericsson-standard",st02-b,2025-03-26
nlhen06st2rm014,"worker,worker-ericsson-standard",st02-b,2025-03-26
nlhen06st2rm013,"worker,worker-ericsson-standard",st02-b,2025-03-26
nlhen06st2rm015,"worker,worker-ericsson-standard",st02-b,2025-03-26
nlhen06st2rm008,"control-plane,master",st02-b,2025-03-27
nlhen06st2rm010,"worker,worker-ericsson-standard",st02-b,2025-03-27
nlhen06st2rm012,"worker,worker-ericsson-standard",st02-b,2025-03-27
nlhen06st2rm009,"control-plane,master",st02-b,2025-03-28
nlhen06st2rm016,"control-plane,master",st02-c,2025-03-31
nlhen06st2rm043,"worker,worker-nokia-ht",st02-c,2025-03-31
nlhen06st2rm039,"worker,worker-nokia-cmg",st02-c,2025-03-31
nlhen06st2rm055,"worker,worker-nokia-ht",st02-c,2025-03-31
nlhen06st2rm019,"worker,worker-nokia",st02-c,2025-03-31
nlhen06st2rm054,"worker,worker-nokia-ht",st02-c,2025-03-31
nlhen06st2rm017,"control-plane,master",st02-c,2025-04-01
nlhen06st2rm063,"worker,worker-nokia-ht",st02-c,2025-04-01
nlhen06st2rm020,"worker,worker-nokia",st02-c,2025-04-01
nlhen06st2rm031,"worker,worker-nokia-cmg",st02-c,2025-04-01
nlhen06st2rm060,"worker,worker-nokia-ht",st02-c,2025-04-01
nlhen06st2rm028,"worker,worker-nokia-cmg",st02-c,2025-04-01
nlhen06st2rm018,"control-plane,master",st02-c,2025-04-02
nlhen06st1rm064,"worker,worker-nokia-ncc",st02-c,2025-04-02
nlhen06st2rm044,"worker,worker-nokia-ht",st02-c,2025-04-02
nlhen06st2rm056,"worker,worker-nokia-ht",st02-c,2025-04-02
nlhen06st1rm041,"worker,worker-nokia-ncc",st02-c,2025-04-02
nlhen06st2rm048,"worker,worker-nokia-ncc",st02-c,2025-04-02
nlhen06st2rm061,"worker,worker-nokia-ht",st02-c,2025-04-03
nlhen06st2rm027,"worker,worker-nokia",st02-c,2025-04-03
nlhen06st2rm030,"worker,worker-nokia-cmg",st02-c,2025-04-03
nlhen06st2rm041,"worker,worker-nokia-ht",st02-c,2025-04-03
nlhen06st1rm040,"worker,worker-nokia-ncc",st02-c,2025-04-03
nlhen06st2rm046,"worker,worker-nokia-ncc",st02-c,2025-04-03
nlhen06st2rm059,"worker,worker-nokia-ht",st02-c,2025-04-04
nlhen06st2rm023,"worker,worker-nokia",st02-c,2025-04-04
nlhen06st2rm051,"worker,worker-nokia-ht",st02-c,2025-04-04
nlhen06st2rm045,"worker,worker-nokia-ht",st02-c,2025-04-04
nlhen06st2rm052,"worker,worker-nokia-ht",st02-c,2025-04-04
nlhen06st2rm021,"worker,worker-nokia",st02-c,2025-04-04
nlhen06st2rm040,"worker,worker-nokia-cmg",st02-c,2025-04-07
nlhen06st2rm062,"worker,worker-nokia-ht",st02-c,2025-04-07
nlhen06st2rm057,"worker,worker-nokia-ht",st02-c,2025-04-07
nlhen06st2rm050,"worker,worker-nokia-ht",st02-c,2025-04-07
nlhen06st2rm042,"worker,worker-nokia-ht",st02-c,2025-04-07
nlhen06st2rm032,"worker,worker-nokia-cmg",st02-c,2025-04-07
nlhen06st2rm053,"worker,worker-nokia-ht",st02-c,2025-04-08
nlhen06st2rm049,"worker,worker-nokia-ht",st02-c,2025-04-08
nlhen06st2rm047,"worker,worker-nokia-ncc",st02-c,2025-04-08
nlhen06st2rm029,"worker,worker-nokia-cmg",st02-c,2025-04-08
nlhen06st2rm058,"worker,worker-nokia-ht",st02-c,2025-04-08
nlhen06st2rm025,"worker,worker-nokia",st02-c,2025-04-08
nlhen06st2rm064,"worker,worker-nokia-ncc",st02-c,2025-04-09
nlhen06st2rm022,"worker,worker-nokia",st02-c,2025-04-09
nlhen06st2rm026,"worker,worker-nokia",st02-c,2025-04-09
nlhen06st2rm033,"control-plane,master",st02-d,2025-04-10
nlhen06st2rm037,"worker,worker-naas",st02-d,2025-04-10
nlhen06st2rm036,"worker,worker-naas",st02-d,2025-04-10
nlhen06st2rm034,"control-plane,master",st02-d,2025-04-11
nlhen06st2rm035,"control-plane,master",st02-d,2025-04-14
nlhen06st2rm038,"worker,worker-naas",st02-d,2025-04-15
nlhen06st3rm039,"control-plane,master",st02-e,2025-04-16
nlhen06st3rm042,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm044,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm045,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm047,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm040,"control-plane,master",st02-e,2025-04-17
nlhen06st3rm043,"worker,worker-titanium",st02-e,2025-04-17
nlhen06st3rm046,"worker,worker-titanium",st02-e,2025-04-17
nlhen06st3rm041,"control-plane,master",st02-e,2025-04-18
nlhen06st3rm002,"control-plane,master",st03-a,2025-04-21
nlhen06st3rm006,"worker,worker-openet",st03-a,2025-04-21
nlhen06st3rm024,"worker,worker-openet",st03-a,2025-04-21
nlhen06st3rm003,"control-plane,master",st03-a,2025-04-22
nlhen06st3rm004,"control-plane,master",st03-a,2025-04-23
nlhen06st3rm005,"worker,worker-openet",st03-a,2025-04-24
nlhen06st3rm007,"control-plane,master",st03-b,2025-04-25
nlhen06st3rm012,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm015,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm010,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm013,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm008,"control-plane,master",st03-b,2025-04-28
nlhen06st3rm014,"worker,worker-ericsson-standard",st03-b,2025-04-28
nlhen06st3rm011,"worker,worker-ericsson-standard",st03-b,2025-04-28
nlhen06st3rm009,"control-plane,master",st03-b,2025-04-29
nlhen06st3rm016,"control-plane,master",st03-c,2025-04-30
nlhen06st3rm048,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st1rm039,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st3rm021,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st3rm050,"worker,worker-nokia-ht",st03-c,2025-04-30
nlhen06st3rm052,"worker,worker-nokia-ht",st03-c,2025-04-30
nlhen06st3rm017,"control-plane,master",st03-c,2025-05-01
nlhen06st3rm051,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm025,"worker,worker-nokia-cmg",st03-c,2025-05-01
nlhen06st3rm027,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm053,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm019,"worker,worker-nokia",st03-c,2025-05-01
nlhen06st3rm018,"control-plane,master",st03-c,2025-05-02
nlhen06st3rm026,"worker,worker-nokia-ht",st03-c,2025-05-02
nlhen06st3rm023,"worker,worker-nokia-cmg",st03-c,2025-05-02
nlhen06st3rm020,"worker,worker-nokia",st03-c,2025-05-02
nlhen06st3rm054,"worker,worker-nokia-ht",st03-c,2025-05-02
nlhen06st3rm022,"worker,worker-nokia",st03-c,2025-05-02
nlhen06st3rm049,"worker,worker-nokia-cmg",st03-c,2025-05-05
nlhen06st3rm028,"control-plane,master",st03-e,2025-05-06
nlhen06st3rm057,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm056,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm032,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm055,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm029,"control-plane,master",st03-e,2025-05-07
nlhen06st3rm031,"worker,worker-titanium",st03-e,2025-05-07
nlhen06st3rm030,"control-plane,master",st03-e,2025-05-08
